CHRIS’ TRADE LIST					
New Additions marked in RED					

Artist	Nat.	Title of release	Format	Year	minutes
Anthrax	USA	Among The Living” LP			
Anthrax	USA	Make Me Laugh” 12”			
Anthrax	USA	State Of Euphoria” LP			
Anthrax	USA	Attack Of The Killer B’s” CD			
Anthrax	USA	 Live Hammersmith Odeon 15.02.87			
Anthrax	USA	 Live Donington 87			
Anthropomancy 	UK	Demo 93			
Antigama	POL	Discomfort” LP			
Anvil	CAN	Hard & Heavy” LP			
Anvil	CAN	Metal On Metal” LP			
Anvil	CAN	Forged In Fire” LP			
Anvil   	CAN	Strength Of Steel" LP			
Anvil	CAN	Back To Basics” CD			
Anvil Chorus	USA	Unreleased LP  '85			
Apocalyptic Raids	BRA	Reh/Demo 03/99			
Apocalyptic Raids	BRA	Only Death Is Real" LP			
Apokalyptic Raids	BRA	Return Of The Satanic Rites" LP			
Archgoat	FIN	Angelcunt: Tales Of Desecration” MLP			
Arghoslent	USA	The Imperial Clans” Demo			
Arghoslent	USA	Bastard Son Of 1000 Whores” Demo 92			
Armagedom/Forca Macabra	BRA	 split LP			
Armagedon	POL	Invisible Circle” LP			
Armicide 	SWI	Demo			
Armored Angel	AUS	"Mysterium" MCD '94			
Armored Saint	USA	Delerious Nomad” LP			
Armored Saint	USA	Symbol Of Salvation” CD			
Armoros	CAN	Remember Michelle" Demo			
Armoros	CAN	Ressurecdead" Demo 87			
Armoros	CAN	"Pieces" Unrelesed LP '89			
Arsedestroyer	SWE	Arsedestroyer” Adv CD			
Artillery	DEN	Fear OF Tomorrow” LP			
Artillery	DEN	Terror Squad  LP			
Artillery	DEN	By Inheritance” LP			
Artillery	DEN	"B.A.C.K" CD			
As Sahar	SING	Primitively Eastern Winds” Demo 93			
As Serenity Fades	FIN	Lowering Sunset” Demo			
As Serenity Fades	FIN	Earthborn” Adv CD			
Ashen Mortality Demo 93	UK				
Asphyx	HOL	Mutilating Process” 7”`			
Asphyx	HOL	Crush The Cenotaph” 7”			
Assassin	GER	"Nemesis" LP			
Assuck	USA	Born Backwards” Demo 89			
Assuck	USA	Necrosalvation” 7”			
Assuck	USA	Blindspot” 7”			
Assuck	USA	Anticapital” LP			
Astaroth	USA	Drowning In Blood” Demo			
Atavistic	UK	From Within” Demo 86			
Atavistic	UK	Equilibrium” 7”			
Atavistic	UK	Life During Wartime” 7”			
Atavistic 	UK	Demo 87 (2 trax)			
Atheist	USA	"Beyond" Demo			
Atheist	USA	Piece Of Time” LP			
Atheist	USA	Unquestionable Presence” CD			
Atheist	USA	Elements” CD			
Atrocity	GER	Blue Blood” 7”			
Atrophy	USA	Chemical Dependancy” Demo 87			
Atrophy	USA	Socialised Hate” LP			
Atrophy	USA	Violent By Nature” LP			
At The Gates 	SWE	Demo 91			
At The Gates	SWE	Gardens Of Grief” MLP			
At The Gates	SWE	The Red In The Sky Is Ours” LP			
At The Gates	SWE	With Fear I Kiss The Burning Darkness” Adv LP			
At The Gates	SWE	Slaughter Of The Soul” LP Promo tape			
At The Gates	SWE	Terminal Spirit Disease” LP			
Atomic Roar	BRA	Demo 2005			
Atomizer	AUS	Songs Of Slaughter, Songs Of Sacrifice 2 x 7"			
Attitude	USA	The Good The Bad The Obnoxious” MLP			
Attitude	USA	Klein Schlaf Bis Deutschland” MLP			
Attitude	USA	"To Whom It May Concern" EP			
Attitude Adjustment	USA	Dead Serious” Demo			
Attitude Adjustment	USA	End The Warzone” EP trax			
Attitude Adjustment	USA	American Paranoia” LP			
At War	USA	Eat Lead” Demo 85			
At War	USA	Retaliatory Strike” LP			
Audio Kollaps	GER	Ultima Ratio” LP			
Ausgebombt	USA	Hellbomber” LP			
Autopsy	USA	Critical Madness” Demo			
Autopsy	USA	Severed Survival” LP			
Autopsy	USA	Mental Funeral” LP			
Autopsy	USA	Retribution For The Dead” 12”			
Autopsy	USA	Fiend For Blood” 12”			
Autopsy	USA	Acts Of The Unspeakable” LP			
Autopsy	USA	Shitfun” CD			
Avernus	USA	A Delicate Tracery Of Red” Demo 93			
Avernus	USA	Anastasia” Promo track 94			
Avulsed	SPA	Deformed Beyond Belief” Demo			
Azagthoth	UK	"Shredded Flesh" Demo '87			
Azhubhan Haani	SWE	On A Snowy Winters Night” Demo 92			
Banished	USA	Collectors Club” 7”			
Banished	USA	 Promo Demo 93			
Baphomet	USA	Spectral Maniac” 7”			
Baphomet	USA	Dead Shall Inherit” LP			
Bastard	JAP	Wind Of Change” LP			
Bastard	JAP	Controlled In The Frame” 7”			
Bathory 	SWE	Demo 84			
Bathory 	SWE	 LP			
Bathory	SWE	The Return” LP			
Bathory	SWE	Under The Sign Of The Black Mark” LP			
Bathory	SWE	Blood Fire Death” LP			
Bathory	SWE	Hammerheart” LP			
Bathory	SWE	Twilight Of The Gods” LP			
Bathory	SWE	Requiem” LP			
Bathory	SWE	Nordland I” CD			
Bathory	SWE	Nordland II” CD			
Battlewitch	UK	"Fyredroid" EP			
Baxaxaxa	GER	Hellfire” Demo 92			
Bazzah	MAL	Necromancy” Demo 93			
Beehler	CAN	Demo 2005			
Behemoth	POL	Return Of The Northern Moon” Demo 93			
Behemoth	POL	The Ancient Kingdom” Demo 94			
Beherit	FIN	Drawing Down The Moon” LP			
Beherit	FIN	Oath Of The Black Blood” LP			
Beherit	CD	H4180V21.C” 			
Belial	FIN	Wisdom Of Darkness” MLP			
Belial	FIN	Never Again” LP			
Believer	USA	Sanity Obscure” CD			
Belsebub	SWE	Elohim” 7”			
Benediction	UK	Dark Is The Season” 7”			
Benediction	UK	Transcend The Rubicon” Adv LP			
Besatt/Armaggedon/Misanthropy/Inner Helvette		 split LP			
Bestial Mockery	SWE	"War - The Final Solution "Demo			
Bestial Mockery	SWE	"A Sign Of Satanic Victory" 7"			
Bestial Mockery	SWE	Christcrushing Hammerchainsaw” LP			
Bestial Mockery	SWE	Evoke The Desecrator” LP			
Bestial Mockery/Unholy Massacre	SW/BR	Eve Of The Bestial Massacre” Split LP			
Bestial Mockery	SWE	"Gospels Of The Insane" LP			
Bestial Summoning	HOL	The Dark War Has Begun” LP			
Bethlehem Promo Demo 93	GER				
Beyond Possession	CAN	Is Beyond Possession” LP			
The Black 	SWE	Adv MCD 94			
Black Army Jacket	USA	222” LP			
Black Death Reh. Track	USA	Lethal Touch”			
The Black Hand	GER	Warmonger” LP			
Black Howling/Front Beast	GER	Split 7"			
Black Witchery	USA	Upheavel Of Satanic Might” LP			
Blasphemer Demo 93	UK				
Blasphemy	CAN	Blood On The Altar” Demo 			
Blasphemy	CAN	Gods Of War” LP			
Blasphemy	CAN	Fallen Angel Of Doom” LP			
Bleed	USA	Womb” MLP			
Bleeding Principle	UK	Christwar” Demo 94			
Blesses Death	USA	Kill Or Be Killed” LP			
Blind Illusion 	USA	Demo 86			
Blind Illusion	USA	The Sane Asylum” LP			
Blind Surgeon	USA	Split Decision” Demo 90			
Blizzard Demo 	USA				
Blood/Impetigo	D/US	 Split 7”			
Blood	GER	Christbait” CD			
Blood Duster	AUS	Menstrual Soup” Demo			
Blood Duster	AUS	Fisting The Dead” MLP			
Bloodclot	USA	Gusher” Demo 92			
Bloodcum 	USA	Demo 86			
Bloodcum	USA	Death By A Clotheshanger” LP			
Blood Feast	USA	"Kill For Pleasure" LP			
Blood Feast	USA	Chopping Block Blues” CD			
Blood Money	UK	Battle Scars” LP			
Blood Money 	UK	Radio Session 87			
Bloodsick/Spawn Of satan	USA	 split LP			
Bloodthirst/Ebola	POL	Split CD			
Body Bag	USA	Mutilated Beyond Recognition” Demo 92			
Bolt Thrower	UK	Concession Of Pain” Demo 			
Bolt Thrower	UK	"Realm Of Chaos" CD			
Bolt Thrower		Warmaster” LP			
Bolt Thrower		The Ivth Crusade” LP			
Bolt Thrower		For Victory” CD			
Bolt Thrower	UK	"Mercenary" CD			
Bolt Thrower	UK	"Honour Valour Pride" CD			
Bolt Thrower	UK	"Those Once Loyal" CD			
Bomb Disneyland Demo 88	UK				
Boulder	USA	Reaped In Half” LP			
Brats (pre-Mercyful Fate)	DEN	Demo '80			
Brain	JAP	Curious Odd Fellows” Demo			
Brain Implosion	HOL	"Liquidation" Demo 88			
Broken Hope	USA	The Bowels Of Repugnance” LP			
Brotherhood 	USA	 LP			
Brujeria	MEX	Kill White People” Adv LP trax			
Brujeria	MEX	Machetazo” 7”			
Brujeria	MEX	El Patron” 7”			
Brujeria	MEX	Demoniaco” 7”			
Brujeria	MEX	Kill White People” LP			
Brujeria	MEX	Raza Odiada” LP			
Brutality	USA	Metamorphosis” Demo 91			
Brutality Adv LP trax	USA				
Brutality	USA	Screams Of Anguish” LP			
Brutality	USA	Hell On Earth” 7”			
Brutal Truth	USA	Birth Of Ignorance” Demo			
Brutal Truth	USA	Ill Neglect” EP			
Brutal Truth	USA	Extreme Conditions…” LP			
Brutal Truth	USA	Need To Control” LP Box Set			
Brutal Truth Perpetual Conversion” 7”	USA				
Brutal Truth/Spazz	USA	 split 7”			
Bundeswehra/Nergal	PO/CH	 Split LP			
Burial	USA	Void In Time” Demo 91			
Burial	USA	Loss Of Life” Demo 92			
Burning Witch untitled LP	USA				
Burning Witch/Goatsnake	USA	 split CD			
Burzum	NOR	Pa Svartre Thrones” LP			
Burzum	NOR	Aske” EP			
Burzum	NOR	Dt Som Engang Var” LP			
Burzum	NOR	Huis Lycet Tar Oss” LP			
Butchery	USA	Necropsy Profane” Demo 92			
Buzzoven	USA	"Welcome To Violence" CD			
Cadaverous Condition Adv CD 94	AUT				
Candlemass	SWE	Witchcraft” Demo			
Candlemass	SWE	Epicus Doomicus Metallicus” LP			
Candlemass	SWE	Nightfall” LP			
Candlemass	SWE	Ancient Dreams” LP			
Candlemass	SWE	Tales Of Creation” LP			
Candlemass	SWE	s/t 2LP			
Candlemass	SWE	Nimis” 7”			
Cannibal Corpse	USA	Eaten Back To Life” LP			
Cannibal Corpse	USA	Butchered At Birth” LP			
Cannibal Corpse	USA	The Bleeding” Adv CD			
Capitalist Alienation 	CAN	Adv LP trax 87			
Carbonized	SWE	No Canonisation” 7”			
Carcass	UK	Death Ripping Sonic Torment” Demo 			
Carcass	UK	 Live Liverpool 06 04.87			
Carcass	UK	Symphonies Of Sickness” LP			
Carcass	UK	Necroticism	 Descanting The Insaloubrious” LP		
Carcass	UK	Heartwork” LP			
Carcass	UK	Swansong” CD			
Carcinoma	UK	Demise” Demo 93			
Carnage	SWE	Dark Recollections” LP			
Carnis	UK	Nemo Dat Quad Non Habet” Demo 94 			
Carnivore 	USA	 LP			
Carnivore	USA	Retaliation” LP			
Carpathian Forest	NOR	Bloodlust & Perversion” Demo 92			
Carpathian Forest Adv LP trax	NOR				
Carpathian Fullmoon	NOR	Serenades In Blood Minor” Adv CD 94			
Carpathian Fullmoon	NOR	Caedes Sacrilege” 7”			
Cartilege	FIN	In The Godly Flesh” Demo			
Cartilege/Altar	FIN	 Split LP			
Casbah	JAP	Russian Roulette” Demo 86			
Casbah	JAP	Infinite Pain” Demo 87			
Castle 	HOL	 CD			
Catacomb	FRA	In The Maze Of Karleth” 7”			
Catalepsy 	USA	Demo 87			
Catarrh	MYA	Destructive Creation” Demo 92			
Catheter	USA	Preamble To Oblivion” LP			
Catheter/Laughing Dog	USA	 split LP			
Catheter	USA	Dimension 303” LP			
Catheter	USA	Do You Love Grind” CD			
Catheter/FUBAR	USA	 split CD			
Cattle Decapitation	USA	Human Jerky” LP			
Cattle Decapitation	USA	Homovore” LP			
Cattlepress/Agoraphobic Nosebleed	USA	 split LP			
Cattlepress	USA	Hordes To Abolish The Divine” LP			
Caustic Strike	SWE	"Straight Down The Drain" Demo 2005			
Celestial Season	HOL	Promises” Demo 92			
Celestial Season	HOL	Sonic Orb” LP 			
Celtic Frost	SWI	 Live Wenheim 01.06.85			
Celtic Frost	SWI	Morbid Tales” MLP (Euro Version)			
Celtic Frost	SWI	Morbid Tales” LP (USA Version)			
Celtic Frost	SWI	Emperors Return” MLP			
Celtic Frost	SWI	To Mega Therion” LP			
Celtic Frost	SWI	Into The Pandemonium” LP			
Celtic Frost	SWI	Vanity/Nemesis” LP			
Celtic Frost	SWI	"Monotheist" 2LP			
Celtic Frost	SWI	Unreleased Demo '92			
Celtic Frost	SWI	"Power Of Nemesis" Demo '92			
Cemetary	SWE	Evil Shade Of Grey” LP			
Cemetary	SWE	Godless Beauty” LP			
Cemetary	SWE	Black Vanity” LP			
Cemetary Of Screams	POL	Someone” Demo 			
Cerebral Disfunction	USA	Sensations Of Nausea” Demo			
Cerebral Fix	UK	Product Of Disgust” Demo 87			
Cerebral Fix	UK	Life Sucks And Then You Die” LP			
Cerebral Fix	UK	Tower Of Spite” LP			
Cerebral Fix	UK	Bastards” LP			
Cerecloth	UK	Godless Passages” Demo			
Cerecloth	UK	Encrusted In An Oaken Legend” 7”			
Cerement	UK	Fire Of Unknown Origin” Demo 92			
Ceremonium	USA	Demo #1 93			
Ceremony	HOL	Inclemency” 7”			
Chakal	BRA	"Man Is His Own Jackal" LP			
Chakal	BRA	"Abominable Anno Domini" LP			
Chakal	BRA	"Demon King" CD			
Chaos UK	UK	Burning Britain” 7”			
Chaotic Plague	USA	The Irrational Animal” Demo			
Chemical Breath	BEL	Brutal Violation” Demo			
Chemical Waste	USA	Life’s A Bitch” Demo 87			
Chemikiller	USA	"1986: Learning To Thrash" Demo (originally released as DEFCON)			
Chemikiller	USA	"Hells Rock'n'Roll" Demo 2002			
Chicken Bowels	JAP	Keep The Fire Burning” 7”			
