CHRIS’ TRADE LIST					
New Additions marked in RED					

Artist	Nat.	Title of release	Format	Year	minutes
Deicide	USA	Legion” CD			
Deicide	USA	Once Upon The Cross” Adv LP			
Deicide	USA	"The Stench Of Redemption" CD			
Deicide	USA	Scars Of The Crucifix” LP			
Dekapitator	USA	We Will Command…You Will Obey!” LP			
Demigod	FIN	Slumber Of Sullen Eyes” LP			
Demilich	FIN	The Echo” Demo #3			
Demilich	FIN	Nespithe” CD			
Demisor	SING	Oral Climax” Demo 93			
Demolition Hammer	USA	Necrology” Demo 89			
Demolition Hammer	USA	Skull Fracturing Nightmare” Demo			
Demolition Hammer	USA	Epidemic Of Violence” LP			
Demolition Hammer	USA	Tortured Existence” LP			
Demolition Hammer	USA	Time Bomb” CD			
Demontage	CAN	"Madness Disease" Demo 2004			
Denial Fiend	USA	"They Live" Reh track 			
Denial Of God	DEN	Dawn Of Aezimaez” Demo 93			
Department Of Corruption	USA	Hanging Material” Demo 88			
Depravity	FIN	Phantasmagoria” Demo 93			
Dekerta	USA	The Unholy Ground” Demo			
Deranged	CAN	"Place Of Torment" Demo '89			
Deranged	SWE	The Confessions Continue” 7”			
Des Exult	DEN	Evil Courier” Demo 87			
Des Exult	DEN	Fat Boys Wanna Rock” Demo 88			
Desaster	GER	A Touch Of Medieval Darkness LP			
Desaster	GER	Stormbringer MLP			
Desecration 	USA	Demo			
Desecration  	USA-AZ	"Damaged By Decibels" Demo 86			
Desecrator Promo Demo	S.AFR				
Desolate	UK	 Reh 09.06.93			
Desolatevoid	USA	"Self Medicated Psycho Therapy" CD			
Destroyer 666	AUS	Satanic Speed Metal" 7"			
Destroyer 666	AUS	"Unchain The Wolves" CD			
Destruction	GER	"Bestial Invasion Of Hell" Demo '84			
Destruction	GER	Sentence Of Death” MLP			
Destruction	GER	Infernal Overkill” LP			
Destruction	GER	Eternal Devestation” LP			
Destruction	GER	Mad Butcher” 12”			
Destruction	GER	"Cracked Brain" LP			
Destruction	GER	The Antichrist” CD			
Destruction	GER	"Metal Discharge" LP			
Destruction	GER	Inventor Of Evil” LP			
Destructor	USA	"Maximum Destruction" CD			
Destructor	USA	"Sonic Bullet" CD 2003			
Desultory	SWE	Death Unfolds” Demo			
Desultory	SWE	Forever Gone” Demo			
Desultory	SWE	Into Eternity” LP			
Desultory	SWE	Bitterness” LP			
Deviated Instinct EP trax 87	UK				
Deviated Instinct	UK	Welcome To The Orgy” 12”			
Deviated Instinct 	UK	Radio Session 90			
Devoid	UK	Human Plague” Demo 91			
D.F.A	CAN	Defy False Authority” LP			
Dio 	USA	Holy Diver LP			
Dio	USA	Last In Line LP			
Dio	USA	Sacred Heart LP			
Dio	USA	Dream Evil LP			
Dio	USA	Live Donington 83			
Dio	USA	Live Hammersmith Odeon 05/10/84			
Dioxin	CAN	Big Smoky Boom” Demo 87			
Disadent (pre Cryptic Slaughter)	USA	Demo '84			
Disastrous Murmur	AUT	Flesh Is What I Need” Demo			
Disastrous Murmur	AUT	Where The Blood Forever Rains” MLP			
Disastrous Murmur	AUT	Rhapsodies In Red” LP			
Dischange	SWE	Seeing Feeling Bleeding” LP			
Disclose	JAP	Once The War Started” 7”			
Disclose/Totalitar	JAP	 split LP			
Discordance Axis	USA	The Unalienable Dreamless” LP			
Disembodied Demo 91	USA				
Disemboweled Corpse	UK	Black As The Coals Of Hell” 7”			
Disfear	SWE	Brutal Sight Of War” MLP			
Disfear	SWE	Soul Scars” CD			
Disgrace	FIN	Grey Misery” LP			
Disgust	UK	Brutality Of War” LP			
Disgust	HOL	Puke” Demo 93			
Disgusting	NOR	The Lament Configuration” Demo93			
Disharmonic Orchestra	AUT	Successive Substitution” EP			
Disincarnate	USA	Soul Erosion” Demo			
Dislocation	CAN	Into The Horror” Demo 93			
Dismember 	SWE	Demo #2 89			
Dismember	SWE	Reborn In Blasphemy” Promo Demo			
Dismember	SWE	Pieces” EP			
Dismember	SWE	Like An Ever Flowing Stream” LP			
Dismember	SWE	Indecent And Obscene” LP			
Dismember	SWE	"Massive Killing Capacity" LP			
Dismember	SWE	"The God that Never Was" CD			
Disrupt	USA	Deprived” 7”			
Disrupt	USA	Unrest” CD			
Dissect Demo 91	HOL				
Dissection	SWE	Into Infinite Obscurity” 7”			
Dissection	SWE	The Somberlain” CD			
Dissection	LIT	Pyramid Of Hate” Demo 93			
Divine Eve	USA	Last Of The Sunset Faded” Demo 93			
Doom 	UK	Demo 88			
Doom	UK	Police Bastard” 7”			
Doomed Demo 92 (Autopsy members)	USA				
Doomflight	UK	Dark Confessions” Demo 95			
Doomstone	USA	Possessed Cemetaries” Demo92			
Doomstone	USA	Those Whom Satan Hath Joined” LP			
Dorsal Atlantica	BRA	"Antes Do Fim" LP			
Dorsal Atlantica	BRA	"Dividir E Conquista" LP			
Dr & The Crippens 	UK	Radio Session 17.5.88			
Dr Shrinker	USA	Wedding The Grotesque” Demo 89			
Dream Death	USA	Journey Into Mystery” LP			
Dreams Of Damnation	USA	Demo '92			
Dreams Of Damnation	USA	Demo '99			
Dreams Of Damnation	USA	S/T EP 2003			
DRI	USA	22 Songs” 7”			
DRI	USA	Dealing With It” LP			
DRI	USA	Crossover” LP			
DRI	USA	Four Of A Kind” LP			
Drowned	FRA	Sadness, Sorrow” Demo 			
Drudge/Agathocles 	UK	split LP			
Dumbstruck	UK	And We All Fall Down” LP			
Dyoxen	USA	Foot From The Edge” Demo 88			
Dying Fetus	USA	Bathe In Entarils” Demo 93			
Dying Fetus	USA	Infatuation With Malevolence” Demo 94			
Dysburial	USA	Eye Socket Sodomy” Demo 93			
Dystopia/Grief Split 7”	USA				
E.B.S	USA	Destroy Your Enemy” LP			
Edge Of Sanity	SWE	Unorthodox” CD			
Edge Of Sanity	SWE	Purgatory Afterglow” CD			
Eldritch	UK	Quietus Eterne” Demo 92			
Eldritch Rite	USA	 Demo 86			
Electric Wizard	UK	Dopethrone” CD			
Electric Wizard	UK	We Live” 2LP			
Electro Hippies	UK	The Only Good Punk…” LP			
Electro Hippies	UK	"Play Fast Or Don't" LP			
Electrocution	ITA	 Inside The Unreal LP			
Embalmed	USA	Boiling Humans” Demo 93			
Embalmer	USA	Mephistophilian Atrocity” Demo 			
Embalmer	USA	Rotting Remains” Demo			
Embalming Theatre	SWI	Sweet Chainsaw Melodies” LP			
Embalming Theatre/Terrorist	SWI	 split 7”			
Embittered Reh 91	UK				
Emperor	NOR	Wrath Of The Tyrant” Demo			
Emperor MLP	NOR				
Emperor	NOR	 Live Bradford 12.07.93			
Emperor	NOR	In The Nightside Eclipse” Adv LP			
Enchantment	UK	A Tear For Young Eloquence” Demo			
Enchantment	UK	Dance The Marble Naked” LP			
Enforcer	CHI	"Violent Speed Rehursal" Demo 2005			
Enslaved	NOR	Hordanes Land” MLP			
Enslaved 	NOR	 CD			
Enslaved	NOR	Isa” CD			
Enthrone	NOR	Black Winds” Demo 			
Entombed	SWE	But Life Goes On” Demo 89			
Entombed	SWE	 Live Swedish Radio 03.11.91			
Entombed	SWE	Left Hand Path” LP			
Entombed	SWE	Clandestine” LP			
Entombed	SWE	Crawl” 12”			
Entombed	SWE	Wolverine Blues” LP			
Entombed	SWE	Hollowman” MLP			
Epidemic	USA	Extremeties” Demo 91			
Epidemic	USA	Decameron” LP			
Epidemic	USA	Exit Paradise” LP			
Epidemic	USA	Lament” 7”			
Epileptic Albino Bullfrogs 	USA	Demo 87			
Epitaph/Excruciate	SWE	 Split LP			
Epoch Of Unlight	USA	Beyond The Pale” Demo 94			
Equinox Of The Gods	SWE	Watch The Shadows Dance” Demo			
Eroded Demo 92	JAP				
Eternal	UK	On Blackened Wings” Demo			
Eternal Reh 92	UK				
Eternal Promo 93	UK				
Eternal Darkness	SWE	Twilight In The Darkness” MLP			
Eternal Darkness	SWE	Doomed” 7”			
Eucharist Demo 92	SWE				
Eucharist	SWE	A Velvet Creation” CD			
Eulogy	USA	Dismal” Demo			
Eve Of Mourning	USA	Acheronian Winter Demo 93			
Eviction	USA	Who Will Win” Demo 88			
Eviction	USA	The World Is Hours Away LP			
Evil Dead	USA	The Awakening” Demo 87			
Evil Dead	USA	"Annihilation Of Civilization" LP			
Evile	UK	All Hallow's Eve MCD			
Evile	UK	"Hell" Demo 2006			
Evisceration	CAN	Demo #2 '91			
Evisceration	POR	In The Flesh” Demo 93			
Evoke Demo 94	UK				
Excel	USA	Personal Onslaught” Demo			
Excel	USA	Welcome To Venice” Comp trax			
Excel	USA	Split Image” LP			
Excel	USA	The Jokes On You” LP			
Excess Of Cruelty 7”	BEL				
Exciter	CAN	Heavy Metal Maniac” LP			
Exciter	CAN	Violence & Force” LP			
Exciter	CAN	Long Live The Loud” LP			
Exciter	CAN	"The Dark Command" LP			
Excration	?	Excreting Guts” Demo			
Excrement Of War	UK	The Waste And The Greed” 7”			
Excruciate/Epitaph	SWE	 Split LP			
Excruciating Terror	USA	Legacy Of Hate” 7”			
Excruciating Terror	USA	Live At Gilman” 7”			
Excruciating Terror	USA	Divided We Fall” CD			
EXE	USA	Stricken By Might” LP			
Exhorder Demo	USA				
Exhorder	USA	Slaughter In The Vatican” LP			
Exhorder	USA	"The Law" LP			
Exit 13	USA	Green Is Good” LP			
Exit 13	USA	Ethos Musick” CD			
Exit 13	USA	Spare The Wrench…” 7”			
Exmortis	USA	Fade From Reality” 7”			
Exodus	USA	Demo 82			
Exodus	USA	 Reh. Tape 84 			
Exodus 	USA	Live Berkely 84			
Exodus 	USA	Live NYC 11.12.87			
Exodus	USA	Bonded By Blood” LP			
Exodus	USA	Pleasures Of The Flesh” LP			
Exodus	USA	Fabulous Disaster” LP			
Exodus	USA	Force Of Habit” tape			
Exodus	USA	Shovel Headed Kill Machine” 2LP			
Exoto	BEL	Ashes” 7”			
Exotoxic Demo 92	CAN				
Extinction 	USA	Demo 89			
Extinction Agenda	USA	Demo 2005			
Extra Hot Sauce	USA	Taco Of Death” LP			
Extreme Noise Terror 	UK	Radio Session 87			
Extreme Noise Terror/Chaos UK	UK	Earslaughter” Split LP			
Extreme Noise Terror	UK	Holocaust In Your Head” LP			
Extreme Noise Terror	UK	Retro-Bution” LP			
Exulceration/Putrid Offal	FRA	 Split LP			
Exumer	GER	Possessed By Fire” LP			
Exumer	GER	"Rising From The Sea" LP			
Eyehategod EP	USA				
Eyehategod	USA	In The Name Of Suffering” LP			
Eyehategod	USA	Dopesick” LP			
Eyehategod	USA	Take As needed For Pain” LP			
Eyehategod	USA	Confederacy Of Ruined Lives” LP			
Eyehategod	USA	Preaching The Endtime Message” CD			
Eyehategod/Cripple Bastards	USA	 split 7”			
False Liberty 	CAN	Demo 86			
Farscape	BRA	"Doctrine Sickness" Demo 2001			
Farscape	BRA	"Demon's Massacre" Cassette LP			
Fatal	USA	A Sombre Evocation Of Nihilism” 7”			
Fear Factory	USA	Fear Is The Mindkiller” MLP			
Fear Itself 	USA	Demo			
Fear Of God 	SWI	Demo EP			
Fester	FIN	Winter Of Sin” Demo 91			
Fetish 69 MLP	AUS				
Filthy Charity	FRA	Paradise Will Be Reborn Through Chaos” Demo			
Final Conflict 	USA	Demo 86			
Finntroll	FIN	Jaktens Tid” LP			
Finntroll	FIN	Nattfodd” LP			
Flegma	SWE	Blind Acceptance” CD			
The Flesh	NOR	Ice Cold Macabre Lust” Demo 95			
Flesh Revels	SWE	Stoned & Out” LP			
Fleurity	NOR	A Darker Shade Of Evil” 7”			
Flotsam & Jetsam	USA	 Live Hammersmith Odeon 06.03.87			
Flotsam & Jetsam	USA	Doomsday For The Deceiver” LP			
Flotsam & Jetsam	USA	No Place For Disgrace” LP			
Flotsam & Jetsam	USA	When The Storm Comes Down” LP			
Flowers In Concrete Demo 93	AUT				
Flying Dirty Clouds	TURK	Dispersing…Nothing Has Meaning” Demo			
Forbidden	USA	Forbidden Evil” LP			
Forbidden	USA	Twisted Into Form” CD			
Forbidden	USA	 Promo Demo 93			
Forbidden	USA	Distortion” LP			
Forca Macabra	FIN	Nos Tumulos Abertos” LP			
Forca Macabra/Armagedom	FIN	 split LP			
Forca Macabra	FIN	Caveira Da Forca” LP			
Forced Entry	USA	Thrashing Helpless Down” Demo 87			
Formicide 	USA	Demo 87			
Fratricide/Mission Of Christ	USA	 Split EP			
Front Beast	GER	Procreation In Fire Demo			
Front Beast/BlackHowling	GER	Split 7"			
Fulgor	GER	To Be One With The Stars” Demo 93			
Fulgor	GER	Our Ten Urphar Visions” Demo 94			
Funeral Bitch 	USA	Demo 87			
Funeral Winds Demo 93	NOR				
Furbowl	SWE	Those Shredded Dreams” CD			
Furbowl	SWE	The Autumn Years” LP			
Gadget	SWE	Remote” CD			
Gallows Demo 92	ISR				
Gammacide 	USA	Demo 87			
Gammacide 	USA	"Victims Of Science" LP			
Garbage Disposal	CZE	Mind Detonator” Demo 93			
The Gathering	HOL	Moonlight Archer” Demo			
Gauze 	JAP	 7”			
Gauze	JAP	Equalising Distort” LP			
Gauze	JAP	Fuck Heads” LP			
General Surgery Demo	GER				
General Surgery	GER	Necrology” 7”			
Genoa MLP	JAP				
Genocido	BRA	S/T  7"			
Geronimo	DEN	A Journey To Oblivion” Demo			
Ghostorm	LIT	The End Of All Songs” Demo			
Ghoul 	JAP	 7”			
Gibbed	JAP	Eternal Life” Flexi			
GISM	JAP	Detestation” 12”			
GISM	JAP	M.A.N” LP			
GISM	JAP	 Comp trax			
Goat Worship	DEN	Tales Of The Ancient Goat” Demo			
Goatlord	USA	Distorted Birth: The Demos” 3LP			
Goatpenis	BRA	Htaed No Tabbas” Demo			
Goatsnake	USA	1” LP			
Goatsnake	USA	Flower Of Disease” LP			
Goatsnake	USA	Trampled Under Hoof” LP			
Goatsnake/Burning Witch	USA	 split CD			
God Macabre	SWE	God Forsaken” Adv MCD			
God Macabre	SWE	The Winterlong” MCD			
Godfall	FIN	The Sound Of Robogroove” MCD			
Godsend	NOR	As The Shadows Fall” Adv LP 93			
Gomorrah	UK	Umbilical Divorce” Demo 92			
Gomorrah	UK	Reflections Of Inanimate Matter” LP			
Gore Beyond Necropsy	JAP	I Recommend You Amputation” Demo			
Gorefest	HOL	Live Misery” 7”			
Goreaphobia	USA	Omen Of Masochism” 7”			
Gorgon	FRA	Immortal Horde” 7”			
Gorgoroth	POL	A Sorcery Written In Blood” Demo 93			
Gorgoroth Promo 94	POL	Considered Dead” LP			
Gorguts	CAN				
Grand Belials Key	USA	Goat Of A Thousand Young” Demo 93			
Grate	UK	Nine Foot White Jesus” Demo 93			
Grave	SWE	Tremendous Pain” 7”			
Grave	SWE	Into The Grave” LP			
Grave	SWE	And Here I Die…Satisfied” MLP			
Grave	SWE	Soulless” LP			
Gravedigger	GER	"Heavy Metal Breakdown" LP			
Graveland	POL	In The Glare Of The Burning Churches” Demo 93			
Graveland	POL	The Celtic Winter” Demo 94			
Graveyard Rodeo	USA	Sowing Discord In The Haunts Of Man” LP			
Grief/Dystopia split 7”	USA				
Grief	USA	Dismal” LP			
Grief/16 	USA	split 10”			
Groovy Aardvaark	CAN	One Fine Day” Demo 			
Groovy Aardvaark Promo Demo	CAN				
Grotesque	SWE	Incantation” 7”			
Grotesque Infection	USA	Consumption Of Human Faeces” Demo 92			
Gung Ho	SWE	Voices From The Past” Demo 87			
Gut	GER	Pussyfied/Assyfied” 7”			
Gutted	USA	Disease” Demo 93			
Gutted	USA	Bleed For Us To Live” LP			
Gutted Corpse	POL	Pain Of Resurrection” Demo 92			
Gutted Pulp Demo 92	USA				
Gutwrench	HOL	Wither Without You” Demo 93			
H.H.H	SPA	A Por Allos” LP			
Hacavitz	MEX	EP 2004			
Haemorrhage	POL	Waking The Gods Of Sadness” Demo 93			
Hades	USA	Resisting Success” LP			
Hades	USA	If At First You Don’t Succeed” LP			
Haemoth	FRA	"Kontamination" LP			
Haggard 	?	 MLP			
Hakuchi	JAP	Gods Disturb” 7”			
Hallows Eve	USA	Tales Of Terror” LP			
Hallows Eve	USA	Monument LP			
Hangnail Demo 93	USA				
Kai Hansen	GER	Heading For Tomorrow” LP			
Hard To Swallow	UK	Protected By The Ejaculation Of Serpents” CD			
Hate	POL	Abhorrence” Demo 92			
Hatemonger	UK	Forever” Demo 93			
Hatred	USA	"Drowning In Afterbirth" Demo 86			
Hatred	USA	Mindless” Demo 87			
Hatred	USA	 Live New Jersey 03.02.85			
The Haunted	SWE	s/t CD			
Havohej 7” 93	USA				
Havohej	USA	Dethrone The Son Of God” LP			
Hazael	POL	Clairvoyance” Demo 93			
Heathen	USA	Pray For Death” Demo 86			
Heathen	USA	Breaking The Silence” LP			
Heathen	USA	Victims Of Deception” LP			
Hell Denied	USA	Demo 2005			
Hellchild	JAP	Where The Conflict Reaches” LP			
Hellhammer	SWI	"Satanic Rites" Demo '83			
Hellhammer	SWI	Apocalytic Raids” 12”			
Hellhammer	SWI	Cucifixion” LP 			
Hellhound 	USA	Demo 86			
Hellish Torment	USA(?)	Demo 85			
Hellnation	USA	Colonized” LP			
Hellnation	USA	Fucked Up Mess” CD			
Hellnation	USA	Dynamite Up Your Ass” LP			
Hellshock	USA	Only The Dead Know The End Of War” LP			
Helloween 	GER	 MLP			
Helloween	GER	Walls Of Jericho” LP			
Helloween	GER	Keeper Of The 7 Keys” LP			
Helloween	GER	Keeper Of The 7 Keys Part 2” LP			
Helloween	GER	Pink Bubbles Go Ape” CD			
Hellwitch 	CAN	Demo #2			
Hellwitch 	CAN	"Syzygial Miscreancy" Cass LP			
Helstar	USA	Burning Star” LP			
The Henchmen 	USA	Demo			
Heresy	UK	Never Healed” Flexi 			
Heresy	UK	 Radio Session 87			
Heresy/Concrete Sox	UK	 split LP			
Heresy	UK	1985-1987 LP			
Hermaphrodit	CZE	Fetal Party” Demo 93			
Hetacomb	UK	Perverts” Demo 93			
Hexx	USA	Quest For Sanity” MLP			
Hey Collosus/Dot	UK/JAP	Split 12"			
Hiatus	BEL	I Don’t Scare Easily But…” 7”			
Hiatus	BEL	From Resignation…To Revolt” LP			
Hidden Hand/Wooly Mammoth	USA	 split CD			
Hidden Hand	USA	Mother, Teacher, Destroyer” CD			
Hideous Mangleus	USA	We Live…You Sleep” 7”			
Hirax 	USA	Demo 84			
Hirax	USA	 Reh. 85			
Hirax	USA	Raging Violence” LP			
Hirax	USA	Hate, Fear & Power” MLP			
Hirax	USA	New Age Of Terror” LP			
Hirax	USA	Barrage Of Noise”10” 			
Hodge Podge	USA	Conscious Entrapment” Demo 88			
Holocausto	BRA	"Campo De Extermino" LP			
Holy Hell	FIN	Kill Jesus” Demo 89			
Holy Terror 	USA	Demo 86			
Holy Terror	USA	Terror & Submission” LP			
Holy Terror	USA	Mind Wars” LP			
Horde Of Torment	USA	Product Of A Sick Mind” Demo 89			
Horrified	GRE	Ancient Whisper Of Wisdom” 7”			
Horrified	GRE	Eternal God” 7”			
Horrified	GRE	In The Garden Of Unearthly Delights” LP			
House Of Usher	SWE	When Being Fucked With” Demo 93			
Human Evil	USA	Reh '88			
Human Remains	USA	Admirations Most Deep and Foul” 7”			
Human Waste	SPA	Existential Nausea” Demo #2			
Hybernoid	UK	The Last Day Begins” CD			
Hybernoid	UK	Todays, Tomorrows, Yesterdays” CD			
Hypocrisy	SWE	Pentralia” LP			
Hypocrisy	SWE	Obscurum Obscenum” LP			
Hypocrisy	SWE	The Fourth Dimension” LP			
Ice Age	SWE	General Alert” Demo 88			
Ignorance	UK	I’m Off Home” Demo			
Ill Disposed	DEN	Four Depressive Seasons” LP			
Immolation	USA	 Demo 88			
Immolation	USA	Dawn Of Possession” LP			
Immortal Fate	USA	Faceless Burial” Demo 92			
Immortal Visions	POL	Aquartatia” Demo			
Impaled Nazarine	FIN	Goat Perversion” EP			
Impaled Nazarine	FIN	Sadogoat” 7”			
Impaled Nazarine	FIN	Tol Cormpt Norz Norz Norz” LP			
Impaled Nazarine	FIN	Ugra Karma” LP			
Impaled Nazarine	FIN	Satanic Masowhore” 7”			
Impaled Nazarine	FIN	Suomi Finland Perkele” LP			
Impaled Nazarine	FIN	Latex Cult” CD			
Impaler	UK	Impaler Of Souls” Demo			
Impetigo	USA	Faceless” 7”			
Impetigo	USA	Buio Omega” EP			
Impetigo	USA	Ultimo Mondo Cannibale” LP			
Impetigo	USA	Horror Of The Zombies” CD			
Impetigo/Blood	US/D	 split 7”			
Impiety	SIN	"Ceremonial Necrochrist Redesecraetion" Demo '92			
Impulse Manslaughter Demo	USA				
Imposter	NOR	Little Hitler Illusion” Demo 88			
Imprecation	USA	Ceremony Of The Nine Angels” Demo 92			
Imprecation	USA	Sigil Of Baphomet” 7”			
In Flames	SWE	Lunar Strain” MLP			
In The Woods	NOR	Isle Of Men” Demo 93			
Incantation	USA	Onward To Golgotha” LP			
Incarcerated	UK	Primitive” Demo 91			
Incarcerated Demo 92	UK				
Incarnis	USA	Castigation” Demo 92			
Incriminated	FIN	Hypocricide” MLP			
Incubus	USA	Engulfed In Unspeakable Horror” Demo 87			
Inextremis	UK	Flight Of The Soul Hungry” Demo			
Infectious Maggots	MYA	Deep Within Our Grief Factory Milk Runs Red” CD			
Infernal Heirarchy	USA	False Prophecy” 7”			
Infernal Majesty	CAN	Demo '86			
Infernal Majesty	CAN	None Shall Defy” LP			
Infernal Majesty	CAN	"One Who Points To Death" EP			
Infernia Demo 92	FIN				
Infest 	USA	 7”			
Infest	USA	Slave” LP			
Infest	USA	Live KLXU” LP			
Infest	USA	No Man’s Slave” LP			
Infester Demo 92	USA				
Infester	USA	Darkness Unveiled” 7”			
Immortal	NOR	Diabolical Fullmoon Mysticism” LP			
Immortal	NOR	Pure Holocaust” Adv. CD			
Inhume	HOL	In For The Kill” LP			
Innards 	UK	Demo #1 92			
Innards	UK	Greedmongers” Demo 94			
Inner Sanctum Demo 92	USA				
Inquisitor	HOL	Blasphemous Accusations” Demo 93			
Insanity	USA	Death After Death" Demo Comp CD (85-89)			
Intense Degree	UK	War In My Head” LP			
Internal Bleeding	USA	Invocation Of Evil” Demo			
Internal Bleeding	USA	Perpetual Degredation” Demo 94			
Intestinal Baalism	JAP	The Energenus” Demo 94			
Intruder	USA	"Psycho Savant" CD			
Inversus	UK	Wounded Innocence” Demo 93			
Inverted	SWE	Hevean Defied” Demo92			
Invocator	DEN	Alterations” Demo			
Invocator	DEN	Weave The Apocalypse” LP			
Invocator	DEN	Excursion Demise” LP			
Invocator	DEN	Promo 2002			
Iron Angel	GER	Hellish Crossfire” LP			
Iron Maiden	UK	Live Reading Festival 28/08/82			
Isengard	NOR	Vinteskugge” CD			
Isvind	NOR	Nivelheimen” Demo 94			
Jesters Of Chaos 	USA	Demo 88			
Jesus Chrysler	USA	Turn Or Burn” EP			
Karrion 	CAN	Demo 86			
Karrion	CAN	Free In Death” Deno 87			
Katatonia	SWE	Jhva Elohim Meth…The Revival” MCD			
Kazjurol	SWE	Messenger Of Death” 7”			
Kazjurol	SWE	 Live Fabersa 31.10.87			
Kataklysm	CAN	Death Gate Cycle Of Reincarnation” Demo 92			
Kataklysm	CAN	Vision Of Chaos” 7”			
Kerberos/Sadistic Grimness	SWE	"Split Cunt Of Virgin Mary" 7"			
Killing Addiction	USA	The Omega Factor” LP			
Kindred Demo 92	UK				
King Diamond	DEN	Fatal Portrait” LP			
King Diamond	DEN	Abigail” LP			
King Diamond	DEN	Them” LP			
King Diamond	DEN	The Puppet Master” LP			
Konkhra	DEN	Sexual Affective Disorder” CD			
Konkhra	DEN	Stranded” CD			
Kontrovers	SWE	Na Spelreglerna Andras” LP			
Korpse Demo	UK				
Korpse 7”	UK				
Korpse	UK	Pull The Flood” LP			
Kratornas	PHI	"Subterranean Sodomies" 7"			
Kreator	GER	Endless Pain” LP			
Kreator	GER	Pleasure To Kill” LP			
Kreator	GER	Terrible Certainty” LP			
Kreator	GER	Extreme Aggression” LP			
Kreator	GER	Coma Of Souls” LP			
Kreator	GER	Renewal” CD			
Kreator	GER	Cause For Conflict” CD			
Kreator	GER	Enemy Of God” CD			
Kung Fu Rick	USA	Motivation To Abuse” LP			
Kung Fu Rick	USA	Coming To An End” LP			
Kylesa 	USA	 LP			
Laceration	USA	Scabs” Demo			
Laceration	USA	Ripping Avulsion” 7”			
Lacrimosa	GER	Inferno” CD			
Lair Of The Minotaur	USA	Carnage” LP			
Lair Of The Minotaur 7”	USA				
Langsuir	MYA	Occultus Mysticism” Demo 93			
Last Chapter Demo #1 93	USA				
Lawnmower Deth	UK	Mowdeer” Demo			
Lawnmower Deth/Metal Duck	UK	 split LP			
Leeway	USA	 Live CBGBs 01.05.85			
Legacy	USA	Reign Of Terror” Demo			
Leprosy	SWE	Death To This World” Demo 89			
Leprosy	SWE	"Trapped In Rage" Demo 2004			
Lethal  	SWE	"Demolition" Demo 2004			
Lethal	SWE	"Deliverance" 7"			
Lethal Aggression	USA	From The Cunt Of The Fucking Whore” Demo			
Leviathan	USA	Legions Of The Undead” Demo 87			
Liers In Wait	SWE	Spiritually Uncontrolled Art” MCD			
Lip Cream 	JAP	7"			
Lip Cream	JAP	Bootleg Comp LP			
Living Death 	GER	Demo 84			
Lord Mortis Demo 92	CAN				
Loss Of Lucidity	CAN	Reh/Demo '92			
Lubricant	FIN	Nookleptia” MLP			
Ludichrist	USA	Immaculate Deception” LP			
Ludichrist	USA	Powertrip” LP			
Ludichrist	USA	 Live TT Bears Boston 03.02.87			
Lues De Funes	CZE	The Great Hardcore” LP			
Lugubrious	SPA	In Nomine Domini Nostri Jesus Christ” Demo93			
Macabre	USA	Grim Reality” MLP			
Macabre	USA	Gloom LP			
Macabre	USA	Sinister Slaughter” LP			
Macabre	USA	Murder Metal” LP			
Macabre	USA	 Live Milwaukee Metalfest 92			
Maceration	DEN	Serenade Of Agony” LP			
Machetazo	SPA	Realmente Disfuto Comiendo Cadaveres” 10”			
Machetazo/Abscess	SPA	 split 7”			
Machinery	USA	Divide & Conquer” Demo 89			
Maggoty Corpse	JAP	Forest Of Dismembered Flesh” Demo 92			
Maggoty Corpse	JAP	Baptisma” Demo 93			
Majesty Demo 	USA				
Malediction	UK	Weeping Tears” Demo			
Malediction	UK	Chronicles Of Dissection” CD			
Malevolent Creation	USA	The Ten Commandments” LP			
Malevolent Creation	USA	Stillborn” LP			
Manson	USA	White Power” Demo 93			
Master	USA	 Unreleased LP trax rough mix			
Major Threat 	UK	Demo 88			
Man Is The Bastard	USA	Sum Of The Men” LP			
Mangled	HOL	Perish” Demo 93			
Marduk	SWE	Fuck Me Jesus” Demo			
Marduk	SWE	There’s No Fucking Peace” 7”			
Marduk	SWE	Dark Endless” CD			
Marduk	SWE	Those Of The Unlight” LP			
Marduk	SWE	Opus Nocturne” LP			
Marduk	SWE	Panzer Division Marduk” CD			
Masochist	USA	Fuck Your God” 7”			
Massacre	FRA	"Legion Of Torture" Demo '87			
Massacra	FRA	Enjoy The Violence” LP			
Massacra	FRA	Final Holocaust” LP			
Massacre	USA	Chamber Of Ages” Demo			
Massacre	USA	From Beyond” LP			
Massacre	USA	Inhuman Conditions” 7”			
Masters Hammer	CZE	Slagry” LP			
Masters Hammer	CZE	The Ritual” LP			
Masters Hammer	CZE	The Filemnice Occultist” LP			
Masters Hammer	CZE	Kleiverstruck” 7”			
Matricide	USA	Elysium” Demo			
Mayhem	NOR	Pure Fuckin Armageddon” Demo			
Mayhem	NOR	De Mysteriis Dom Sathanas” LP			
Mayhem/Meads Of Asphodal	NOR	 split 10”			
Maze Torment	MYA	Ritual Suffocation” Demo 93			
Meads Of Asphodal/Mayhem	UK	 split 10”			
Meat Shits	USA	Ecstasy Of Death” CD			
Megadeth	USA	Mechanix” Demo			
Megadeth	USA	 Live Hammersmith Odeon 06.03.87			
Mekong Delta	GER	The Music Of Erich Zann LP			
Mengele	FIN	Abominable Thoughts” Demo 89			
Mephisto	SWI	The Puzzle” Demo 86			
